region,pop_q1,Asset risk pc,Well-being risk pc
V - Bicol,1206,10855.67,169510.83
II - Cagayan Valley,698,15079.95,124886.33
I - Ilocos,1024,10252.77,93713.96
VIII - Eastern Visayas,906,6209.23,93545.79
IVA - CALABARZON,2824,9286.35,77835.13
III - Central Luzon,2218,8650.96,75975.9
Total,20278,6172.08,60582.43
NCR,2528,9408.71,53795.63
VII - Central Visayas,1486,3222.82,51057.38
XIII - Caraga,541,2289.47,38040.85
IVB - MIMAROPA,614,2701.42,34561.09
VI - Western Visayas,1539,2767.3,33836.78
CAR,355,3149.9,29980.23
XI - Davao,990,1268.52,16400.66
XII - SOCCSKSARGEN,912,619.08,15174.97
ARMM,738,630.62,10105.96
X - Northern Mindanao,940,544.76,9747.98
IX - Zamboanga Peninsula,751,429.89,5857.27
