hazard,rp,transport,energy,water,building_residential,building_non_residential,other_k
tsunami,1,1.00E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
tsunami,10,0.03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
tsunami,20,0.07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
tsunami,50,9.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
tsunami,250,9.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
tsunami,500,9.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
tsunami,1000,9.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
typhoon,1,1.00E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
typhoon,10,0.03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
typhoon,20,0.07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
typhoon,50,9.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
typhoon,250,9.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
typhoon,500,9.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
typhoon,1000,9.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
